# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 618834 c42 c46 300 N 
58.0000 M2 977273 p13 p28 300 N 
84.0000 M3 968122 c65 p35 300 N 
112.0000 M4 523257 c43 w109 300 N 
144.0000 M5 874671 c60 p17 300 N 
170.0000 M6 661032 p17 c71 300 N 
203.0000 M7 612010 c51 p33 300 N 
233.0000 M8 913877 c69 p27 300 N 
265.0000 M9 587686 w99 w107 300 N 
291.0000 M10 863541 p16 w107 300 N 
320.0000 M11 562047 c62 w97 300 N 
345.0000 M12 545086 p39 p19 300 N 
379.0000 M13 693107 p23 t120 300 N 
405.0000 M14 720934 w81 p1 300 N 
431.0000 M15 991397 w88 w107 300 N 
464.0000 M16 875016 c73 p9 300 N 
498.0000 M17 790517 w80 c49 300 N 
523.0000 M18 640222 c74 p33 300 N 
557.0000 M19 580040 p35 w88 300 N 
582.0000 M20 773543 w80 p27 300 N 
609.0000 M21 519301 c63 p9 300 N 
640.0000 M22 854050 w96 c57 300 N 
669.0000 M23 555510 c54 p24 300 N 
698.0000 M24 559729 c58 c60 300 N 
730.0000 M25 982211 w97 w116 300 N 
757.0000 M26 546679 c49 c56 300 N 
785.0000 M27 707738 w98 p23 300 N 
818.0000 M28 627290 c53 p39 300 N 
852.0000 M29 639593 w94 w97 300 N 
881.0000 M30 678625 p0 w81 300 N 
913.0000 M31 948641 c65 c49 300 N 
945.0000 M32 531670 p36 p28 300 N 
976.0000 M33 729461 p16 p9 300 N 
1007.0000 M34 844772 p2 t120 300 N 
1035.0000 M35 998232 c45 p11 300 N 
1060.0000 M36 612761 c74 t121 300 N 
1092.0000 M37 737538 w112 w102 300 N 
1121.0000 M38 698725 t120 p22 300 N 
1154.0000 M39 983915 c60 p32 300 N 
1184.0000 M40 572441 w83 w118 300 N 
1216.0000 M41 838158 p12 p13 300 N 
1249.0000 M42 889225 p18 c42 300 N 
1281.0000 M43 596711 p36 w85 300 N 
1313.0000 M44 568074 p30 w119 300 N 
1345.0000 M45 506581 c69 w92 300 N 
1378.0000 M46 636051 p31 c67 300 N 
1411.0000 M47 734776 c56 p26 300 N 
1437.0000 M48 884863 p23 c68 300 N 
1465.0000 M49 955987 p26 p17 300 N 
1498.0000 M50 976458 p7 c48 300 N 
1528.0000 M51 797770 c74 p37 300 N 
1560.0000 M52 891919 w86 w90 300 N 
1586.0000 M53 883685 c53 w106 300 N 
1617.0000 M54 953264 c55 p9 300 N 
1646.0000 M55 928171 w103 c44 300 N 
1677.0000 M56 782957 p30 p34 300 N 
1707.0000 M57 601479 c72 c54 300 N 
1739.0000 M58 837610 p25 c72 300 N 
1769.0000 M59 720977 w80 c46 300 N 
1803.0000 M60 686270 w89 p28 300 N 
1828.0000 M61 640531 c45 w105 300 N 
1857.0000 M62 745934 c72 p28 300 N 
1890.0000 M63 895682 c76 p19 300 N 
1917.0000 M64 679024 w106 c52 300 N 
1946.0000 M65 628836 p24 p23 300 N 
1975.0000 M66 762094 p35 p31 300 N 
2000.0000 M67 922010 p17 w83 300 N 
2027.0000 M68 649807 p4 c69 300 N 
2061.0000 M69 580609 c43 w86 300 N 
2093.0000 M70 766484 w104 p27 300 N 
2126.0000 M71 769870 w116 c63 300 N 
2154.0000 M72 625366 c43 w87 300 N 
2184.0000 M73 817551 p18 c53 300 N 
2216.0000 M74 766315 c41 c50 300 N 
2241.0000 M75 838158 w108 p14 300 N 
2272.0000 M76 892737 p13 w116 300 N 
2300.0000 M77 598670 w99 w97 300 N 
2334.0000 M78 861599 w81 w115 300 N 
2364.0000 M79 884910 c61 p30 300 N 
2389.0000 M80 626408 p12 c44 300 N 
2422.0000 M81 660867 w93 p12 300 N 
2452.0000 M82 985912 p33 p29 300 N 
2479.0000 M83 619743 c66 w83 300 N 
2504.0000 M84 745447 c70 p17 300 N 
2535.0000 M85 821486 c52 w113 300 N 
2567.0000 M86 667043 p9 p8 300 N 
2595.0000 M87 990325 p31 p13 300 N 
2629.0000 M88 607095 c52 c79 300 N 
2662.0000 M89 616020 p31 p2 300 N 
2693.0000 M90 663625 w113 w110 300 N 
2726.0000 M91 920835 p22 w104 300 N 
2758.0000 M92 799189 p23 c56 300 N 
2791.0000 M93 592981 w83 c53 300 N 
2822.0000 M94 655764 w117 t122 300 N 
2852.0000 M95 563385 p34 w85 300 N 
2883.0000 M96 821242 c41 w102 300 N 
2911.0000 M97 595414 p36 p39 300 N 
